Request: https://finance.yahoo.com/quote/MSFT/financials
Error: Failed with: 301
         461229 function calls (437349 primitive calls) in 0.748 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.215    0.215    0.215    0.215 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        5    0.205    0.041    0.205    0.041 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.102    0.102    0.102    0.102 {method 'connect' of '_socket.socket' objects}
 4576/231    0.017    0.000    0.052    0.000 _parser.py:512(_parse)
      240    0.016    0.000    0.016    0.000 {built-in method marshal.loads}
 5110/193    0.011    0.000    0.026    0.000 _compiler.py:37(_compile)
  776/769    0.007    0.000    0.048    0.000 {built-in method builtins.__build_class__}
    331/1    0.006    0.000    0.748    0.748 {built-in method builtins.exec}
    64473    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
58313/52508    0.005    0.000    0.006    0.000 {built-in method builtins.len}
    26224    0.005    0.000    0.008    0.000 _parser.py:168(__getitem__)
 1134/193    0.005    0.000    0.052    0.000 _parser.py:452(_parse_sub)
 5066/383    0.004    0.000    0.007    0.000 _parser.py:178(getwidth)
        1    0.004    0.004    0.004    0.004 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
40672/40652    0.004    0.000    0.005    0.000 {built-in method builtins.isinstance}
      689    0.004    0.000    0.006    0.000 _compiler.py:243(_optimize_charset)
    12872    0.003    0.000    0.005    0.000 _parser.py:261(get)
    20574    0.003    0.000    0.003    0.000 _parser.py:240(__next)
 1033/908    0.003    0.000    0.005    0.000 {built-in method __new__ of type object at 0xa4cb40}
        1    0.003    0.003    0.036    0.036 dammit.py:128(_populate_class_variables)
      516    0.003    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
     1154    0.002    0.000    0.002    0.000 {built-in method posix.stat}
      240    0.002    0.000    0.002    0.000 {method 'read' of '_io.BufferedReader' objects}
    13555    0.002    0.000    0.002    0.000 {built-in method builtins.min}
      240    0.002    0.000    0.002    0.000 {built-in method _io.open_code}
    10616    0.002    0.000    0.003    0.000 _parser.py:256(match)
     10/8    0.002    0.000    0.003    0.000 {built-in method _imp.create_dynamic}
     2810    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      496    0.002    0.000    0.003    0.000 css_types.py:41(__init__)
    11301    0.002    0.000    0.003    0.000 _parser.py:164(__len__)
    300/6    0.002    0.000    0.212    0.035 <frozen importlib._bootstrap>:1349(_find_and_load)
      240    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
      271    0.001    0.000    0.089    0.000 __init__.py:280(_compile)
       19    0.001    0.000    0.003    0.000 enum.py:1708(convert_class)
     6868    0.001    0.000    0.002    0.000 _parser.py:176(append)
       10    0.001    0.000    0.002    0.000 {built-in method _imp.exec_dynamic}
     3033    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
      447    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:304(acquire)
      121    0.001    0.000    0.003    0.000 _compiler.py:467(_get_charset_prefix)
      763    0.001    0.000    0.001    0.000 _parser.py:372(_escape)
      293    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      240    0.001    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
     1779    0.001    0.000    0.002    0.000 typing.py:1215(__setattr__)
     6776    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
      480    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
      513    0.001    0.000    0.002    0.000 typing.py:175(_type_check)
      447    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:79(__init__)
     5940    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
        1    0.001    0.001    0.001    0.001 {built-in method _socket.getaddrinfo}
     3796    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     5669    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
     4782    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      123    0.001    0.000    0.001    0.000 enum.py:254(__set_name__)
    299/5    0.001    0.000    0.211    0.042 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     3541    0.001    0.000    0.001    0.000 _parser.py:293(tell)
      447    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
     4274    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     7616    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
      447    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
     1014    0.001    0.000    0.001    0.000 _parser.py:312(_class_escape)
      341    0.001    0.000    0.003    0.000 css_parser.py:1108(selector_iter)
      277    0.001    0.000    0.005    0.000 typing.py:1269(__init__)
     6104    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      447    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:124(setdefault)
        1    0.001    0.001    0.001    0.001 taskgroups.py:1(<module>)
     2010    0.001    0.000    0.001    0.000 typing.py:1161(_is_dunder)
      193    0.001    0.000    0.006    0.000 _compiler.py:511(_compile_info)
       13    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
      689    0.001    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
      269    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
       30    0.001    0.000    0.484    0.016 __init__.py:1(<module>)
     4068    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      386    0.001    0.000    0.002    0.000 enum.py:1562(__and__)
      193    0.001    0.000    0.086    0.000 _compiler.py:740(compile)
    269/5    0.001    0.000    0.211    0.042 <frozen importlib._bootstrap>:911(_load_unlocked)
      123    0.001    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
       13    0.001    0.000    0.001    0.000 __init__.py:355(namedtuple)
      274    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
     2831    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
       24    0.001    0.000    0.009    0.000 dataclasses.py:921(_process_class)
       13    0.001    0.000    0.004    0.000 enum.py:919(_convert_)
      179    0.001    0.000    0.001    0.000 enum.py:390(__setitem__)
    56/16    0.001    0.000    0.011    0.001 css_parser.py:925(parse_selectors)
     1431    0.001    0.000    0.001    0.000 enum.py:1544(_get_value)
     2720    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     1680    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
     3811    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
   614/10    0.000    0.000    0.210    0.021 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     1028    0.000    0.000    0.001    0.000 _parser.py:172(__setitem__)
       50    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
      576    0.000    0.000    0.001    0.000 enum.py:850(__setattr__)
      240    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
      752    0.000    0.000    0.001    0.000 _parser.py:449(_uniq)
     2062    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      250    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
  560/524    0.000    0.000    0.010    0.000 typing.py:392(inner)
      480    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     2585    0.000    0.000    0.001    0.000 css_parser.py:317(match)
      240    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
