Failed with 404
         458229 function calls (433994 primitive calls) in 1.165 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       11    0.678    0.062    0.678    0.062 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.098    0.098    0.098    0.098 {method 'connect' of '_socket.socket' objects}
        1    0.092    0.092    0.092    0.092 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.089    0.089    0.089    0.089 {built-in method _socket.getaddrinfo}
 4757/196    0.020    0.000    0.058    0.000 _parser.py:512(_parse)
      166    0.014    0.000    0.014    0.000 {built-in method marshal.loads}
 5515/188    0.013    0.000    0.029    0.000 _compiler.py:37(_compile)
    68988    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
62071/55784    0.006    0.000    0.007    0.000 {built-in method builtins.len}
    29523    0.006    0.000    0.009    0.000 _parser.py:168(__getitem__)
  557/552    0.005    0.000    0.045    0.000 {built-in method builtins.__build_class__}
 5462/369    0.005    0.000    0.008    0.000 _parser.py:178(getwidth)
 1268/188    0.005    0.000    0.059    0.000 _parser.py:452(_parse_sub)
      897    0.005    0.000    0.007    0.000 _compiler.py:243(_optimize_charset)
        1    0.005    0.005    0.005    0.005 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
38790/38782    0.004    0.000    0.004    0.000 {built-in method builtins.isinstance}
    16663    0.004    0.000    0.006    0.000 _parser.py:261(get)
        1    0.004    0.004    0.038    0.038 dammit.py:128(_populate_class_variables)
    25477    0.003    0.000    0.003    0.000 _parser.py:240(__next)
    14493    0.003    0.000    0.003    0.000 {built-in method builtins.min}
    13217    0.002    0.000    0.003    0.000 _parser.py:256(match)
      429    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
      878    0.002    0.000    0.002    0.000 {built-in method posix.stat}
    12520    0.002    0.000    0.003    0.000 _parser.py:164(__len__)
      496    0.002    0.000    0.003    0.000 css_types.py:41(__init__)
  697/667    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0xa4cb40}
      9/7    0.002    0.000    0.002    0.000 {built-in method _imp.create_dynamic}
      166    0.002    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
      166    0.002    0.000    0.002    0.000 {built-in method _io.open_code}
      169    0.002    0.000    0.002    0.000 {method 'read' of '_io.BufferedReader' objects}
     2296    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     7444    0.002    0.000    0.002    0.000 _parser.py:176(append)
      254    0.002    0.000    0.100    0.000 __init__.py:280(_compile)
       16    0.001    0.000    0.004    0.000 enum.py:1708(convert_class)
      122    0.001    0.000    0.003    0.000 _compiler.py:467(_get_charset_prefix)
      800    0.001    0.000    0.002    0.000 _parser.py:372(_escape)
        9    0.001    0.000    0.001    0.000 {built-in method _imp.exec_dynamic}
     2930    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
       17    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
      268    0.001    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
      359    0.001    0.000    0.001    0.000 enum.py:850(__setattr__)
      218    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
     9188    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     4299    0.001    0.000    0.001    0.000 _parser.py:293(tell)
     5943    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
    221/3    0.001    0.000    0.200    0.067 <frozen importlib._bootstrap>:1349(_find_and_load)
     4251    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      262    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:304(acquire)
      166    0.001    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
     5227    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
      897    0.001    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
       53    0.001    0.000    0.002    0.000 <frozen abc>:105(__new__)
     6189    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
       64    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
      332    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
      341    0.001    0.000    0.003    0.000 css_parser.py:1108(selector_iter)
       17    0.001    0.000    0.002    0.000 __init__.py:355(namedtuple)
     3701    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
2915/2847    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     1057    0.001    0.000    0.001    0.000 _parser.py:312(_class_escape)
      188    0.001    0.000    0.006    0.000 _compiler.py:511(_compile_info)
      262    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      307    0.001    0.000    0.002    0.000 typing.py:175(_type_check)
    220/3    0.001    0.000    0.200    0.067 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    168/1    0.001    0.000    1.165    1.165 {built-in method builtins.exec}
     4968    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     1359    0.001    0.000    0.001    0.000 _parser.py:172(__setitem__)
      942    0.001    0.000    0.001    0.000 _parser.py:449(_uniq)
      376    0.001    0.000    0.001    0.000 enum.py:1562(__and__)
      849    0.001    0.000    0.001    0.000 typing.py:1215(__setattr__)
      188    0.001    0.000    0.096    0.001 _compiler.py:740(compile)
    56/16    0.001    0.000    0.011    0.001 css_parser.py:925(parse_selectors)
     3825    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
      200    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
     2822    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
     3201    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      262    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
      193    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
       10    0.000    0.000    0.003    0.000 enum.py:919(_convert_)
     1428    0.000    0.000    0.001    0.000 enum.py:1544(_get_value)
    193/3    0.000    0.000    0.200    0.067 <frozen importlib._bootstrap>:911(_load_unlocked)
     2585    0.000    0.000    0.001    0.000 css_parser.py:317(match)
       21    0.000    0.000    0.474    0.023 __init__.py:1(<module>)
     1005    0.000    0.000    0.000    0.000 {built-in method fromkeys}
       20    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
      188    0.000    0.000    0.059    0.000 _parser.py:969(parse)
      133    0.000    0.000    0.002    0.000 typing.py:1269(__init__)
      262    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
       79    0.000    0.000    0.003    0.000 css_parser.py:472(parse_attribute_selector)
      166    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
     1243    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
    446/6    0.000    0.000    0.199    0.033 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     1724    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
     1001    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
      926    0.000    0.000    0.001    0.000 typing.py:1161(_is_dunder)
       54    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
      175    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
     2399    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
       17    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
     1467    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      332    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      262    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
      166    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
  266/241    0.000    0.000    0.005    0.000 typing.py:392(inner)
       15    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
    166/3    0.000    0.000    0.200    0.067 <frozen importlib._bootstrap_external>:989(exec_module)
       87    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
      412    0.000    0.000    0.000    0.000 _parser.py:265(getwhile)
      495    0.000    0.000    0.001    0.000 enum.py:726(__call__)
       62    0.000    0.000    0.003    0.000 typing.py:694(Union)
  193/189    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      188    0.000    0.000    0.036    0.000 _compiler.py:573(_code)
      188    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
  142/137    0.000    0.000    0.002    0.000 css_parser.py:395(freeze)
      142    0.000    0.000    0.000    0.000 css_parser.py:369(__init__)
  210/174    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
        1    0.000    0.000    0.002    0.002 packages.py:1(<module>)
       17    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      498    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      873    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
  758/701    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
       28    0.000    0.000    0.000    0.000 enum.py:254(__set_name__)
      376    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
     1754    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      175    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      507    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
     1655    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      735    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      166    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      495    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
      175    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      218    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
     1099    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
      681    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      324    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
       23    0.000    0.000    0.001    0.000 enum.py:528(__new__)
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
       80    0.000    0.000    0.001    0.000 typing_extensions.py:3171(_collect_parameters)
      220    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:416(__enter__)
      166    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
        6    0.000    0.000    0.002    0.000 typing.py:2809(__new__)
       53    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      664    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      820    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
      100    0.000    0.000    0.001    0.000 enum.py:1551(__or__)
      258    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      218    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      176    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
      137    0.000    0.000    0.001    0.000 typing.py:1174(__init__)
     1099    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
  167/164    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
      325    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
        1    0.000    0.000    0.042    0.042 dammit.py:1(<module>)
        4    0.000    0.000    0.001    0.000 feedparser.py:216(_parsegen)
       50    0.000    0.000    0.000    0.000 enum.py:390(__setitem__)
      425    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      520    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       86    0.000    0.000    0.000    0.000 css_parser.py:812(parse_combinator)
      735    0.000    0.000    0.000    0.000 _parser.py:83(groups)
      322    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
       62    0.000    0.000    0.000    0.000 typing.py:345(_remove_dups_flatten)
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
      142    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
      762    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       78    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      285    0.000    0.000    0.000    0.000 css_parser.py:344(match)
       51    0.000    0.000    0.001    0.000 typing.py:1476(__getitem__)
      619    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      187    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      531    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
       80    0.000    0.000    0.000    0.000 typing_extensions.py:3086(_has_generic_or_protocol_as_origin)
        2    0.000    0.000    0.000    0.000 feedparser.py:469(_parse_headers)
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
      218    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      412    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      619    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
        2    0.000    0.000    0.680    0.340 connection.py:534(getresponse)
        2    0.000    0.000    0.000    0.000 response.py:602(__init__)
      200    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      358    0.000    0.000    0.003    0.000 {built-in method builtins.next}
      167    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      199    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
    68/37    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      322    0.000    0.000    0.000    0.000 css_parser.py:248(css_unescape)
      220    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
        1    0.000    0.000    0.001    0.001 typing_extensions.py:1(<module>)
      188    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
      201    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      238    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
