Protein,Total lipid (fat),Cholesterol,Ingredient,Thiamin,Riboflavin,Niacin,Pantothenic acid,Biotin
11.32,5.8,1.67,tuna,,,,,
47.6,1.83,25.67,buffet,,,,,
0.0,0.0,0.0,iced coffee,,,,,
0.14,0.0,0.0,white wine,0.42,1.15,0.68,,
26.48,1.88,39.67,cocktail,1.75,1.92,11.29,,
3.76,4.54,0.67,chard,3.17,6.85,2.48,,
4.1,13.32,0.0,cobbler,8.75,5.08,6.78,,
34.16,25.95,17.0,trout,18.58,10.62,32.87,,
6.84,8.77,0.33,minnesota,,,,,
1.56,0.38,0.0,watermelon,,,,,
5.64,23.85,9.33,st. patrick's day,,,,,
21.8,1.2,0.0,onion,83.33,25.54,29.31,,
34.98,16.98,26.0,no meat,7.08,13.85,23.36,,
24.8,66.62,7.33,low sugar,16.67,36.92,14.12,,
0.0,0.0,,cardamom,,,,,
25.0,4.12,0.0,pittsburgh,83.33,41.23,44.62,,
1.36,0.18,0.0,chill,3.83,3.0,1.75,3.9,
0.0,0.0,0.0,green bean,,,,,
10.0,42.31,6.0,snack,,,,,
15.82,116.62,0.0,macadamia nut,100.0,12.46,15.44,15.16,
0.0,0.0,,utah,,,,,
3.14,4.69,0.67,leek,4.67,2.31,2.48,,
25.0,3.49,0.0,bulgur,,,,,
4.02,4.37,0.67,stir-fry,4.5,7.15,4.82,,
6.24,33.69,15.67,atlanta,,,,,
24.8,4.52,10.67,cod,,,,,
13.96,3.58,0.0,rye,,,,,
6.66,10.26,16.67,egg nog,,,,,
22.16,19.29,8.33,scallop,12.5,6.46,9.59,,
1.64,4.18,0.67,bitters,4.08,3.92,1.69,,
6.4,8.15,,noodle,,,,,
0.0,0.0,0.0,lemon juice,,,,,
16.22,11.29,7.67,leafy green,3.17,6.62,10.29,,
6.42,0.98,3.33,maryland,,,,,
35.76,1.14,32.33,crab,1.92,7.15,17.17,,
3.48,2.43,1.67,eau de vie,2.67,5.08,0.44,,
0.8,0.15,0.0,quince,1.67,2.31,1.25,1.62,
34.8,26.77,0.0,paleo,,,,,
1.0,0.2,0.0,cucumber,1.75,1.85,0.45,,
21.8,3.34,0.0,semolina,,,,,
0.08,0.0,0.0,fortified wine,0.25,1.08,0.62,,
23.6,12.15,8.33,clam,13.08,8.08,13.74,,
11.06,6.38,6.0,lasagna,,,,,
0.0,143.54,0.0,basil,,,,,
1.42,4.03,1.67,poultry,2.0,4.08,1.78,,
38.08,5.95,18.0,ham,35.5,14.69,37.84,,
1.66,0.22,0.0,juicer,,,,,
0.0,0.0,,chambord,,,,,
0.0,0.17,0.0,chartreuse,0.33,0.69,0.05,,
0.0,120.92,12.0,hollywood,,,,,
30.4,41.23,25.33,ground beef,,,,,
21.2,8.94,0.0,chile pepper,6.75,92.31,54.19,19.12,
1.0,0.0,0.0,non-alcoholic,0.0,0.77,0.62,,
1.96,34.31,0.0,pressure cooker,0.0,0.0,0.0,0.0,
20.6,58.31,5.67,walnut,,,,,
2.36,0.0,0.0,escarole,,,,,
1.16,0.45,0.0,blackberry,,,,,
3.92,23.69,0.0,california,6.25,11.0,11.94,29.2,
0.0,0.0,,portland,,,,,
10.16,5.6,26.67,custard,4.0,14.62,0.59,,
0.0,0.0,0.0,sage,,,,,
1.42,0.0,0.0,tropical fruit,,,,,
6.66,5.12,5.0,dairy,,,,,
2.36,0.0,0.0,butternut squash,,,,,
18.48,3.6,12.33,stew,5.08,7.08,18.11,,
35.2,24.46,0.0,anise,28.33,22.31,19.12,15.94,
51.2,47.91,38.67,fontina,1.75,15.69,0.94,,
0.0,0.0,0.0,oregano,,,,,
34.8,59.85,,nut,,,,,
15.8,1.65,0.0,oregon,2.5,5.38,26.19,26.0,
2.7,1.05,0.0,kiwi,,,,,
1.32,1.02,0.0,new jersey,,,,,
2.04,0.36,,bok choy,,,,,
14.1,11.68,6.33,casserole,10.75,16.38,5.1,,
42.6,10.43,19.0,beef rib,2.5,6.92,26.94,5.86,
28.4,35.38,22.0,oktoberfest,,,,,
79.8,46.15,35.67,brine,5.0,21.54,73.75,,
2.76,5.48,0.33,organic,4.92,7.38,4.19,,
1.0,0.35,0.0,asian pear,0.75,0.77,1.37,,
59.0,39.85,51.0,microwave,4.08,30.62,50.62,19.76,
2.5,0.31,0.0,endive,6.67,5.77,2.5,18.0,
28.8,46.15,26.0,30 days of groceries,3.67,11.62,21.12,7.9,
13.56,7.82,5.0,chili,,,,,
5.9,19.49,14.67,ice cream machine,4.5,18.46,2.6,,
6.2,69.54,0.0,sesame,0.0,0.0,0.0,,
5.66,1.91,4.67,san francisco,,,,,
1.6,0.0,0.0,hominy,,,,,
13.38,14.11,6.33,taco,12.5,8.15,9.38,4.1,
19.5,1.95,11.33,turkey,,,,,
36.46,8.82,13.67,broil,1.33,3.62,2.58,,
12.3,0.58,0.0,kansas city,,,,,
36.74,13.91,15.33,pork chop,37.33,12.54,36.11,,
0.14,0.0,0.0,martini,0.42,0.38,0.16,,
6.66,0.0,0.0,mezcal,,,,,
4.76,25.69,4.0,lancaster,,,,,
1.42,1.09,0.0,michigan,,,,,
0.0,0.0,0.0,tequila,0.5,0.31,0.08,,
0.0,0.0,0.0,scotch,0.5,0.31,0.08,,
38.4,24.92,17.0,kid-friendly,8.33,13.62,49.31,31.2,
14.28,24.77,12.0,ireland,,,,,
0.0,0.0,,emeril lagasse,,,,,
0.0,0.0,,massachusetts,,,,,
0.0,0.17,0.0,liqueur,0.33,0.69,0.05,,
7.54,18.92,9.33,houston,,,,,
1.6,0.0,0.0,corn,,,,,
0.0,0.0,0.0,mexico,,,,,
0.0,0.0,,blueberry,,,,,
28.6,49.38,23.67,calvados,,,,,
14.28,44.0,0.0,hummus,,,,,
0.0,15.38,0.0,amaretto,,,,,
0.0,1.35,0.0,stock,,,,,
13.0,8.75,8.0,backyard bbq,,,,,
42.8,27.54,18.0,blue cheese,,,,,
0.0,0.0,,tarragon,,,,,
32.44,23.26,19.33,pork rib,27.17,19.0,34.25,,
17.12,3.4,14.67,los angeles,3.67,7.92,7.52,,
0.0,0.0,,tangerine,,,,,
43.6,5.92,13.0,beef shank,8.33,16.92,35.88,7.0,
7.14,24.77,9.0,back to school,,,,,
0.0,0.0,0.0,graduation,0.58,1.0,0.38,4.4,
0.34,0.0,0.0,low carb,0.0,0.0,0.0,,
0.0,51.23,0.0,salad dressing,,,,,
0.0,0.0,,cranberry,,,,,
5.06,0.85,2.33,healthy,,,,,
0.0,0.0,,triple sec,,,,,
57.2,49.38,29.67,switzerland,,,,,
2.0,0.0,0.0,rutabaga,,,,,
0.0,153.54,33.33,goose,0.0,0.0,0.0,0.0,
13.34,0.0,0.0,egypt,,,,,
9.24,27.23,21.67,anniversary,,,,,
14.8,59.23,0.0,pastry,26.92,19.85,23.75,,
41.82,1.46,53.67,lobster,1.83,1.31,11.96,,
50.0,32.92,29.67,prosciutto,,,,,
30.6,4.45,10.67,grill,0.67,1.38,5.29,,
18.6,3.58,0.0,brown rice,,,,,
19.2,9.23,0.0,bran,38.58,23.85,27.92,,
8.02,13.88,0.0,tart,43.25,38.08,38.59,,
1.43,0.16,,bell pepper,3.26,6.83,3.98,,0.0
0.0,0.0,0.0,digestif,,,,,
22.2,42.77,0.0,dominican republic,,,,,
13.34,41.08,0.0,fall,,,,,
7.14,49.38,0.0,friendsgiving,,,,,
52.8,8.31,144.67,simmer,7.92,81.54,25.75,66.0,
50.0,21.6,28.67,quail,18.25,23.0,49.29,,
10.6,3.54,0.0,seed,24.17,13.08,33.12,16.32,
43.78,18.18,25.67,swordfish,13.58,7.85,55.08,,
13.64,0.0,0.0,sourdough,,,,,
0.0,0.0,0.0,fig,,,,,
0.0,0.0,0.0,celery,,,,,
0.96,0.66,,kosher,3.92,4.38,0.68,4.0,
0.0,17.08,,vermouth,,,,,
18.86,8.71,0.0,high fiber,,,,,
18.82,6.34,6.0,burrito,,,,,
1.0,0.0,0.0,sake,0.0,0.0,0.0,,
2.84,4.95,0.67,fennel,0.83,2.69,4.33,,
35.6,34.31,0.0,cumin,52.33,25.15,28.62,,
1.74,14.26,0.0,frozen dessert,1.08,2.46,0.48,,
0.0,0.0,0.0,herb,0.83,0.31,0.0,0.22,
0.72,0.2,0.0,duck,1.92,1.08,1.49,,
34.0,9.05,14.0,one-pot meal,,,,,
